                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0932,                 3.5525,                 4.2355,                 0.0264,                0.38307,                0.08277,                0.02131,                  3.072,                 3.4129,                 4.1534,                0.00026,                0.00026,                0.00026
                      2,                 3.0292,                  3.141,                 4.0764,                0.02895,                0.42094,                0.03454,                0.01276,                 3.0463,                 3.4101,                 4.1364,              0.0003618,              0.0003618,              0.0003618
                      3,                 2.9114,                 2.9482,                 3.9749,                0.02629,                0.40646,                 0.0358,                0.01394,                 3.0186,                 3.3942,                 4.1125,              0.0002788,              0.0002788,              0.0002788
