                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0932,                 3.5525,                 4.2355,                 0.0264,                0.38307,                0.08277,                0.02131,                  3.072,                 3.4129,                 4.1534,                0.00026,                0.00026,                0.00026
                      2,                 3.0079,                 3.0943,                 4.0561,                0.02805,                0.41982,                0.03522,                0.01374,                  3.031,                 3.3943,                 4.1312,             0.00052931,             0.00052931,             0.00052931
                      3,                 2.8421,                 2.7888,                  3.877,                0.02777,                0.41759,                0.04478,                0.01391,                 2.9957,                 3.4004,                 4.1024,             0.00078753,             0.00078753,             0.00078753
                      4,                 2.5089,                 2.3569,                 3.5239,                0.02843,                0.42762,                0.04091,                0.01367,                 2.9242,                 3.3412,                 4.0432,              0.0010347,              0.0010347,              0.0010347
                      5,                 2.3417,                  2.228,                 3.2604,                0.03782,                0.69488,                0.07658,                0.02509,                 2.7843,                 2.9715,                 3.7348,              0.0012707,              0.0012707,              0.0012707
                      6,                 2.1994,                 2.0541,                 3.0504,                0.03824,                0.70267,                0.05464,                0.01773,                 2.5491,                 3.2006,                 3.7345,              0.0014957,              0.0014957,              0.0014957
                      7,                 2.0386,                 1.9308,                 2.7944,                0.04352,                0.79955,                0.06834,                0.02183,                 2.4084,                 3.0141,                 3.3899,              0.0017095,              0.0017095,              0.0017095
                      8,                 1.9968,                 1.8449,                 2.6881,                0.10407,                0.38419,                 0.1018,                0.04448,                 1.7323,                 2.4765,                 2.8776,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.888,                 1.7456,                 2.6105,                 0.2353,                0.44766,                0.23344,                0.10163,                 1.7969,                 2.7364,                 2.6224,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.8703,                 1.7103,                 2.5373,                0.41252,                0.42146,                0.35519,                0.16957,                 1.7084,                 2.5442,                 2.4275,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.7622,                 1.5911,                 2.4231,                0.37866,                0.38641,                0.32932,                0.16213,                 1.7537,                 1.9378,                 2.5733,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.7869,                 1.5627,                 2.4224,                0.28866,                0.35857,                0.26296,                0.11471,                 2.0232,                 1.8568,                  2.694,               0.001604,               0.001604,               0.001604
                     13,                 1.6908,                 1.5501,                 2.3358,                 0.4771,                 0.4265,                0.39638,                0.20568,                 1.7592,                 1.8957,                 2.3978,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.6247,                 1.5023,                 2.2796,                0.51741,                0.43207,                0.40817,                0.22218,                 1.5372,                 1.4286,                  2.221,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.6318,                 1.4617,                 2.2569,                0.60054,                0.41871,                0.44001,                0.23738,                 1.4885,                 1.4407,                 2.1293,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.5833,                 1.4384,                 2.2206,                0.93598,                0.39072,                0.53835,                 0.3275,                 1.4384,                 1.2397,                 2.0891,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.5481,                 1.3604,                 2.1709,                0.91801,                0.39901,                  0.531,                0.31827,                 1.4868,                 1.1571,                 2.0903,               0.001406,               0.001406,               0.001406
                     18,                 1.5042,                 1.3288,                 2.1404,                0.54653,                0.49109,                0.49076,                0.28944,                 1.5819,                 1.3135,                 2.1953,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.4551,                 1.2653,                 2.1045,                0.90961,                0.48188,                0.63688,                0.36036,                 1.5522,                0.98967,                 2.1993,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.4672,                 1.2946,                 2.0886,                0.83487,                0.43096,                0.55179,                0.30585,                 1.4517,                 1.1069,                 2.1389,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.3785,                 1.1826,                 2.0112,                0.84259,                0.44321,                0.58737,                0.30916,                 1.6506,                 1.0977,                 2.2658,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.4097,                 1.1656,                 2.0004,                0.77469,                0.36375,                 0.4912,                0.26122,                 1.5954,                 1.3585,                 2.3197,               0.001208,               0.001208,               0.001208
                     23,                 1.3284,                 1.1574,                 1.9434,                0.80016,                  0.402,                0.51912,                0.33528,                 1.2591,                0.98603,                  1.948,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.2995,                 1.1375,                 1.9464,                0.75606,                0.42452,                 0.5487,                0.33354,                 1.2904,                0.89371,                 1.9127,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.2478,                 1.1099,                 1.8908,                0.78289,                0.43367,                0.57395,                0.37506,                 1.1451,                0.90123,                 1.7903,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.2593,                 1.0808,                 1.8685,                 0.8733,                0.39147,                0.57684,                0.34003,                  1.307,                0.88193,                 1.8876,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.2122,                 1.0553,                 1.8401,                 0.7189,                 0.3931,                 0.4668,                0.29024,                 1.3265,                0.99689,                 2.0098,                0.00101,                0.00101,                0.00101
                     28,                  1.181,                 1.0006,                 1.8081,                 0.7853,                0.39103,                0.53448,                0.32902,                 1.3343,                0.87393,                 1.9913,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.2051,                 1.0383,                 1.8277,                0.94823,                 0.4588,                0.61842,                0.38225,                 1.2113,                0.85632,                 1.8422,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.1993,                 1.0033,                 1.8093,                0.89207,                 0.4265,                0.60069,                0.36853,                   1.25,                0.88794,                 1.9087,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.1593,                0.98327,                 1.7702,                0.68627,                0.39087,                0.49392,                0.29507,                 1.3932,                0.91792,                 2.0198,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.1416,                0.98805,                 1.7506,                0.70745,                0.34298,                0.41213,                0.24979,                 1.4868,                 1.0736,                 2.0934,               0.000812,               0.000812,               0.000812
                     33,                 1.1168,                0.95538,                 1.7331,                0.89547,                0.37204,                0.49468,                0.29434,                 1.2896,                0.89787,                 1.9444,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.0989,                 0.9463,                 1.7109,                0.82693,                0.40089,                0.49663,                0.31117,                 1.1868,                0.90864,                   1.81,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.1106,                0.96337,                 1.7161,                0.78481,                0.35412,                0.49599,                 0.2949,                 1.3638,                0.96565,                 1.9503,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.1465,                0.97026,                 1.7355,                0.86098,                0.42069,                0.58815,                0.36279,                 1.1915,                0.79174,                 1.7935,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.0769,                0.92439,                 1.6821,                0.79269,                0.40878,                 0.5215,                0.31777,                 1.3112,                0.85651,                  1.899,               0.000614,               0.000614,               0.000614
                     38,                 1.0853,                0.93529,                 1.6709,                0.84328,                0.33555,                0.51488,                0.33765,                 1.2321,                0.86172,                  1.845,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0667,                 0.9116,                 1.6615,                0.81976,                0.32294,                 0.5188,                0.33826,                 1.1166,                0.80166,                 1.7954,              0.0005348,              0.0005348,              0.0005348
                     40,                  1.064,                0.89964,                 1.6714,                0.61671,                0.35523,                0.46481,                0.32623,                 1.1565,                0.82877,                 1.7381,              0.0004952,              0.0004952,              0.0004952
                     41,                0.85753,                0.86009,                 1.5073,                0.80381,                0.32393,                0.48108,                0.33888,                 1.1216,                0.85182,                  1.768,              0.0004556,              0.0004556,              0.0004556
                     42,                0.81775,                0.80564,                 1.4633,                0.94405,                0.40423,                0.56396,                0.38125,                 1.0855,                0.74159,                 1.7402,               0.000416,               0.000416,               0.000416
                     43,                0.79894,                0.78978,                  1.446,                0.96638,                 0.3201,                 0.5483,                0.34535,                 1.1903,                0.79951,                 1.8075,              0.0003764,              0.0003764,              0.0003764
                     44,                0.76665,                0.76539,                 1.3922,                0.94112,                0.35969,                0.56997,                0.40384,                 1.0125,                0.72568,                 1.6391,              0.0003368,              0.0003368,              0.0003368
                     45,                0.75898,                 0.7612,                 1.4001,                0.98437,                 0.3507,                0.59227,                0.42348,                  1.007,                0.79197,                 1.6453,              0.0002972,              0.0002972,              0.0002972
                     46,                0.73752,                0.75155,                 1.3746,                0.50598,                 0.5657,                0.64617,                 0.4535,                0.97206,                0.70567,                 1.6015,              0.0002576,              0.0002576,              0.0002576
                     47,                0.71488,                 0.7437,                 1.3712,                0.52775,                0.54009,                0.63464,                0.43843,                 1.0542,                0.77611,                 1.6983,               0.000218,               0.000218,               0.000218
                     48,                0.70115,                0.72653,                 1.3544,                0.49564,                0.56904,                0.64132,                0.44304,                 0.9743,                0.72286,                 1.6147,              0.0001784,              0.0001784,              0.0001784
                     49,                0.67969,                0.71691,                 1.3286,                0.94947,                0.37664,                0.60323,                0.42298,                0.96971,                0.71941,                 1.6108,              0.0001388,              0.0001388,              0.0001388
                     50,                0.68691,                0.70839,                 1.3373,                0.99686,                0.35339,                0.58522,                0.40956,                0.98855,                0.69041,                 1.6276,               9.92e-05,               9.92e-05,               9.92e-05
